geo,year,variable,value,flag
RO,2016,te_gf0601,0.3,
RO,2017,te_gf0601,0.2,
RO,2018,te_gf0601,0.2,
RO,2019,te_gf0601,0.2,
RO,2020,te_gf0601,0.2,covid
RO,2021,te_gf0601,0.3,covid
RO,2022,te_gf0601,0.4,covid
RO,2023,te_gf0601,0.4,
SE,2001,te_gf0601,0.4,
SE,2002,te_gf0601,0.3,
SE,2003,te_gf0601,0.3,
SE,2004,te_gf0601,0.2,
SE,2005,te_gf0601,0.2,
SE,2006,te_gf0601,0.2,
SE,2007,te_gf0601,0.2,
SE,2008,te_gf0601,0.2,
SE,2009,te_gf0601,0.2,
SE,2010,te_gf0601,0.2,
SE,2011,te_gf0601,0.2,
SE,2012,te_gf0601,0.2,
