freq,mortalit,sex,icd10,unit,geo,time,value
A,TRT,T,TOTAL,RT,NO,2023,54.64
A,TRT,T,TOTAL,RT,PL,2011,149.1
A,TRT,T,TOTAL,RT,PL,2012,146.39
A,TRT,T,TOTAL,RT,PL,2013,142.25
A,TRT,T,TOTAL,RT,PL,2014,130.93
A,TRT,T,TOTAL,RT,PL,2015,131.19
A,TRT,T,TOTAL,RT,PL,2016,129.79
A,TRT,T,TOTAL,RT,PL,2017,131.99
A,TRT,T,TOTAL,RT,PL,2018,133.12
A,TRT,T,TOTAL,RT,PL,2019,133.71
A,TRT,T,TOTAL,RT,PL,2020,144.19
A,TRT,T,TOTAL,RT,PL,2021,145.87
A,TRT,T,TOTAL,RT,PL,2022,140.01
A,TRT,T,TOTAL,RT,PL,2023,132.71
A,TRT,T,TOTAL,RT,PT,2011,94.78
A,TRT,T,TOTAL,RT,PT,2012,93.05
A,TRT,T,TOTAL,RT,PT,2013,90.06
A,TRT,T,TOTAL,RT,PT,2014,89.16
A,TRT,T,TOTAL,RT,PT,2015,86.9
A,TRT,T,TOTAL,RT,PT,2016,88.87
A,TRT,T,TOTAL,RT,PT,2017,84.01
A,TRT,T,TOTAL,RT,PT,2018,82.92
A,TRT,T,TOTAL,RT,PT,2019,79.06
A,TRT,T,TOTAL,RT,PT,2020,79.12
A,TRT,T,TOTAL,RT,PT,2021,74.53
A,TRT,T,TOTAL,RT,PT,2022,74.53
A,TRT,T,TOTAL,RT,PT,2023,74.24
A,TRT,T,TOTAL,RT,RO,2011,224.5
A,TRT,T,TOTAL,RT,RO,2012,219.8
A,TRT,T,TOTAL,RT,RO,2013,210.96
A,TRT,T,TOTAL,RT,RO,2014,207.64
A,TRT,T,TOTAL,RT,RO,2015,208.96
A,TRT,T,TOTAL,RT,RO,2016,208.0
A,TRT,T,TOTAL,RT,RO,2017,205.98
A,TRT,T,TOTAL,RT,RO,2018,210.63
A,TRT,T,TOTAL,RT,RO,2019,208.64
A,TRT,T,TOTAL,RT,RO,2020,235.06
A,TRT,T,TOTAL,RT,RO,2021,254.72
A,TRT,T,TOTAL,RT,RO,2022,215.0
A,TRT,T,TOTAL,RT,RO,2023,199.7
A,TRT,T,TOTAL,RT,RS,2011,185.31
A,TRT,T,TOTAL,RT,RS,2012,180.25
A,TRT,T,TOTAL,RT,RS,2013,172.07
A,TRT,T,TOTAL,RT,RS,2014,167.79
A,TRT,T,TOTAL,RT,RS,2015,178.63
A,TRT,T,TOTAL,RT,RS,2016,172.76
